                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.71092,                0.62323,                 1.1097,                0.88957,                0.82949,                0.91228,                0.71997,                0.90029,                0.66218,                 1.3319,              0.0011098,              0.0011098,              0.0011098
                     36,                0.70016,                0.63082,                 1.1012,                0.91016,                 0.8443,                0.91657,                0.73328,                0.98331,                 0.6517,                 1.4019,              0.0011056,              0.0011056,              0.0011056
                     37,                0.70871,                 0.6096,                 1.1063,                0.91445,                 0.8418,                0.91992,                0.72601,                0.89696,                0.61873,                 1.3213,              0.0011015,              0.0011015,              0.0011015
                     38,                0.71654,                0.62802,                 1.1075,                0.93813,                0.83256,                0.92493,                0.74555,                0.87456,                0.58605,                 1.2886,              0.0010974,              0.0010974,              0.0010974
                     39,                0.68608,                0.61753,                  1.094,                 0.8975,                0.83811,                0.93185,                0.74431,                0.94303,                0.65081,                 1.4556,              0.0010933,              0.0010933,              0.0010933
                     40,                  0.698,                0.63317,                 1.1066,                 0.9088,                0.84699,                0.92857,                0.75065,                0.94372,                 0.5837,                 1.4114,              0.0010891,              0.0010891,              0.0010891
                     41,                 0.7047,                0.60454,                 1.1032,                 0.9397,                0.85291,                0.94431,                0.75073,                0.80597,                0.61754,                 1.2067,               0.001085,               0.001085,               0.001085
                     42,                 0.6867,                0.58464,                  1.084,                0.90146,                0.85711,                0.92211,                0.72746,                0.88847,                0.64503,                 1.3254,              0.0010809,              0.0010809,              0.0010809
                     43,                0.68058,                0.59113,                 1.0838,                0.92918,                0.86081,                0.93849,                0.74911,                0.96605,                0.56829,                 1.4484,              0.0010768,              0.0010768,              0.0010768
                     44,                0.67127,                0.56794,                 1.0854,                0.89385,                0.85324,                0.92728,                0.73232,                0.96252,                0.58654,                 1.4205,              0.0010726,              0.0010726,              0.0010726
                     45,                0.67993,                0.58079,                 1.0866,                0.91186,                0.83835,                0.91747,                 0.7163,                0.80465,                0.62214,                 1.2214,              0.0010685,              0.0010685,              0.0010685
                     46,                 0.6793,                0.57664,                  1.078,                0.91617,                0.85353,                0.93819,                0.76147,                0.86693,                0.59472,                 1.2472,              0.0010644,              0.0010644,              0.0010644
                     47,                0.67179,                0.57678,                 1.0803,                0.92704,                0.83113,                 0.9394,                0.74655,                0.95005,                0.63391,                 1.4167,              0.0010603,              0.0010603,              0.0010603
                     48,                 0.6625,                0.57694,                 1.0829,                0.88637,                0.89688,                0.93977,                0.76245,                0.89211,                0.63001,                 1.3011,              0.0010561,              0.0010561,              0.0010561
                     49,                0.66464,                0.57676,                 1.0771,                0.90996,                0.82971,                 0.9079,                0.73101,                0.90967,                0.61528,                 1.3573,               0.001052,               0.001052,               0.001052
                     50,                0.66664,                0.55771,                 1.0763,                0.92611,                0.84412,                0.92564,                0.75616,                0.77616,                0.65532,                 1.1851,              0.0010479,              0.0010479,              0.0010479
                     51,                0.65897,                0.55626,                 1.0746,                0.95148,                0.86594,                0.94771,                0.77203,                0.85356,                0.53853,                 1.3342,              0.0010438,              0.0010438,              0.0010438
                     52,                0.66111,                0.55423,                 1.0762,                0.91679,                0.87248,                0.93354,                0.75209,                0.95064,                0.60335,                 1.4477,              0.0010396,              0.0010396,              0.0010396
                     53,                0.65637,                0.56376,                 1.0743,                 0.9312,                0.80675,                0.92083,                0.73262,                0.98047,                0.84431,                 1.5611,              0.0010355,              0.0010355,              0.0010355
                     54,                0.64961,                0.53553,                  1.063,                0.93955,                0.83982,                0.92329,                0.74798,                0.89765,                0.63182,                 1.3142,              0.0010314,              0.0010314,              0.0010314
                     55,                0.65799,                0.54732,                 1.0761,                0.90661,                0.85091,                0.93336,                0.75703,                 0.9583,                0.59186,                 1.4283,              0.0010273,              0.0010273,              0.0010273
                     56,                0.64474,                0.52792,                 1.0617,                0.94651,                0.84905,                0.93403,                0.75852,                0.93743,                0.61832,                 1.3805,              0.0010231,              0.0010231,              0.0010231
                     57,                0.64749,                0.54012,                  1.067,                0.89626,                0.86034,                 0.9218,                0.74835,                0.95531,                0.62264,                 1.3852,               0.001019,               0.001019,               0.001019
                     58,                0.64283,                0.54309,                  1.066,                0.91355,                0.83659,                0.91783,                0.75414,                0.77124,                 0.6146,                 1.1878,              0.0010149,              0.0010149,              0.0010149
                     59,                0.65782,                0.54075,                 1.0737,                0.88836,                0.86071,                0.91847,                0.74534,                0.73481,                0.58442,                 1.1511,              0.0010107,              0.0010107,              0.0010107
                     60,                0.61781,                0.52339,                 1.0515,                0.91853,                0.84557,                0.92143,                0.75126,                0.92869,                0.61668,                 1.3812,              0.0010066,              0.0010066,              0.0010066
                     61,                0.63151,                0.53633,                 1.0694,                0.93966,                0.86385,                0.93371,                0.75535,                0.77447,                0.67123,                  1.193,              0.0010025,              0.0010025,              0.0010025
                     62,                0.63223,                0.52164,                 1.0585,                0.90312,                0.89629,                0.93831,                0.74922,                0.90316,                0.65227,                 1.3291,             0.00099837,             0.00099837,             0.00099837
                     63,                0.63175,                0.52507,                 1.0601,                0.95042,                 0.8355,                0.93332,                0.75553,                0.94295,                0.58993,                  1.417,             0.00099425,             0.00099425,             0.00099425
                     64,                0.62968,                0.52292,                  1.052,                0.93242,                 0.8596,                0.94324,                0.75765,                0.81232,                0.54269,                 1.2187,             0.00099013,             0.00099013,             0.00099013
                     65,                0.62438,                 0.5143,                 1.0524,                0.92161,                0.84004,                0.93358,                0.74867,                0.95477,                0.68805,                 1.4226,               0.000986,               0.000986,               0.000986
                     66,                0.62115,                0.51532,                 1.0514,                0.91214,                0.86399,                 0.9377,                0.76202,                0.92843,                0.63358,                 1.3953,             0.00098187,             0.00098187,             0.00098187
                     67,                0.62145,                 0.5178,                 1.0524,                 0.9147,                0.85086,                0.92301,                0.74798,                0.82174,                0.71904,                 1.2641,             0.00097775,             0.00097775,             0.00097775
                     68,                0.61638,                0.49787,                 1.0437,                0.93076,                0.85382,                0.93914,                0.76657,                0.83963,                0.54241,                 1.2732,             0.00097362,             0.00097362,             0.00097362
                     69,                0.62013,                0.52339,                 1.0475,                  0.927,                0.85204,                0.92826,                 0.7549,                0.88052,                0.62649,                 1.3476,              0.0009695,              0.0009695,              0.0009695
                     70,                0.61449,                0.51311,                 1.0422,                0.93403,                0.88047,                0.94538,                 0.7809,                0.78725,                0.53179,                 1.2265,             0.00096537,             0.00096537,             0.00096537
                     71,                0.62538,                0.50455,                 1.0476,                0.94229,                0.86965,                0.93052,                0.75875,                0.87852,                0.60958,                 1.2951,             0.00096125,             0.00096125,             0.00096125
                     72,                0.60749,                0.49935,                 1.0474,                0.93952,                0.87488,                0.94057,                0.77578,                0.86226,                 0.5336,                  1.306,             0.00095712,             0.00095712,             0.00095712
                     73,                 0.6168,                0.50072,                 1.0355,                0.97009,                0.86158,                0.95206,                0.78466,                0.90314,                0.55757,                 1.3677,               0.000953,               0.000953,               0.000953
                     74,                0.60491,                0.48507,                   1.04,                0.92663,                0.85629,                0.93533,                0.76743,                0.85695,                0.69949,                 1.2941,             0.00094887,             0.00094887,             0.00094887
                     75,                0.61349,                0.49045,                 1.0525,                0.92186,                 0.8572,                0.92638,                 0.7736,                0.74564,                 0.5338,                  1.208,             0.00094475,             0.00094475,             0.00094475
                     76,                0.60697,                0.49709,                 1.0426,                0.91927,                0.83769,                 0.9232,                0.76404,                0.92528,                0.58755,                 1.3931,             0.00094062,             0.00094062,             0.00094062
                     77,                0.60411,                0.48796,                 1.0397,                0.94086,                0.89042,                0.94653,                 0.7805,                0.85285,                0.51594,                 1.3137,              0.0009365,              0.0009365,              0.0009365
