0.889&0.629&0.661&0.824&0.674&0.603\\
0.759&0.623&0.533&0.84&0.56&0.482\\
0.77&0.835&0.656&0.777&0.788&0.624\\
0.972&0.623&0.56&0.905&0.351&0.325\\
0.848&0.678&0.602&0.837&0.593&0.508\\
