Wall time,Step,Value
1717882554.7886655,131,0.022595345973968506
1717882574.4028537,263,0.017293626442551613
1717882593.7989602,395,0.021592268720269203
1717882613.1738884,527,0.01340940035879612
1717882633.0595224,659,0.011144331656396389
1717882652.4480748,791,0.010996743105351925
1717882671.8178456,923,0.010036760941147804
1717882691.7258058,1055,0.010397608391940594
1717882711.2543957,1187,0.01046496070921421
1717882730.6980152,1319,0.010045822709798813
1717882750.0631871,1451,0.009449050761759281
1717882769.3056176,1583,0.009958472102880478
1717882786.8324218,1715,0.008230823092162609
1717882804.1817675,1847,0.00825764425098896
1717882821.6842158,1979,0.009274015203118324
1717882838.9800518,2111,0.009963125921785831
1717882856.5744383,2243,0.007688218727707863
1717882873.7802672,2375,0.008644402027130127
1717882891.5232053,2507,0.008927108719944954
1717882908.7946854,2639,0.007999658584594727
1717882927.9950905,2771,0.008660569787025452
1717882947.0976295,2903,0.0076363831758499146
1717882966.3691697,3035,0.007832406088709831
1717882985.2164874,3167,0.008258679881691933
1717883004.3279967,3299,0.008729197084903717
1717883023.2741976,3431,0.009385614655911922
1717883042.4525478,3563,0.007313194684684277
1717883061.6320968,3695,0.007478672079741955
1717883080.733219,3827,0.008014008402824402
1717883099.902111,3959,0.00706030149012804
1717883118.9804323,4091,0.007892549969255924
1717883138.1459439,4223,0.007678372785449028
1717883157.2825499,4355,0.00700645986944437
1717883176.751153,4487,0.007966902107000351
1717883196.15844,4619,0.006907624192535877
1717883215.5466063,4751,0.009118921123445034
1717883234.9704144,4883,0.006946513894945383
1717883254.5249922,5015,0.006987810600548983
1717883274.009185,5147,0.006915697827935219
1717883293.4359028,5279,0.006615205202251673
1717883312.9165182,5411,0.008225059136748314
1717883332.5225916,5543,0.00814141146838665
1717883351.9456909,5675,0.007724246010184288
1717883372.2375798,5807,0.006483701057732105
1717883391.9612534,5939,0.0062685636803507805
1717883411.3801036,6071,0.007249267306178808
1717883430.8491845,6203,0.007188676856458187
1717883450.271508,6335,0.007151276804506779
1717883470.1811943,6467,0.007279648445546627
1717883489.9024093,6599,0.007007080130279064
1717883509.476239,6731,0.007908877916634083
1717883529.0706713,6863,0.008063388988375664
1717883548.3255594,6995,0.009552309289574623
1717883568.0626912,7127,0.007754863705486059
1717883587.7923408,7259,0.007357556372880936
1717883607.8426552,7391,0.007515402045100927
1717883627.837819,7523,0.006283428519964218
1717883647.1749003,7655,0.008909753523766994
1717883667.0312831,7787,0.006886850576847792
1717883687.014055,7919,0.007864691317081451
1717883705.4605978,8051,0.007461419329047203
1717883723.5568707,8183,0.008112268522381783
1717883742.4277902,8315,0.006859115324914455
1717883761.094646,8447,0.011202524416148663
1717883779.0105839,8579,0.007141647394746542
1717883796.588307,8711,0.009059601463377476
1717883814.166166,8843,0.009482554160058498
1717883832.2028642,8975,0.00687016174197197
1717883850.3496053,9107,0.006772999186068773
1717883868.085425,9239,0.008754768408834934
